Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
Uganda,eastern uganda,1800,2016,Washed / Wet,Green,200,85
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,76.33
Thailand,thailand,800,2012,Washed / Wet,Green,2,80
Guatemala,oriente,1450,2012,Washed / Wet,Green,250,81.17
Mexico,los angeles,1200,2012,Washed / Wet,Green,20,78.5
Colombia,huila,1750,2012,Washed / Wet,Green,250,83.67
Myanmar,"yauk sauk, shan state",914,2015,Natural / Dry,Green,2,80.25
Mexico,chiapas,1022,2013,Washed / Wet,Green,275,79.75
Malawi,mzuzu,1450,2014,Washed / Wet,Green,10,82.33
Brazil,south of minas,950,2012,Washed / Wet,Green,44,82.33
China,yunnan,1200,2013,Washed / Wet,Green,16,78
Philippines,asia pacific,1600,2014,Washed / Wet,Blue-Green,4,82.92
Mexico,veracruz,1170,2013,Washed / Wet,Green,10,82.42
Thailand,thailand,800,2014,Washed / Wet,Green,1,82.5
Thailand,chiang rai,1300,2012,Washed / Wet,Green,53,86.17
Uganda,eastern uganda,1750,2016,Washed / Wet,Green,200,84.5
Guatemala,"la reforma, san marcos",1371,2012,Washed / Wet,Green,275,83
Mexico,zaragoza itundujia,1550,2012,Washed / Wet,Green,15,80.17
Guatemala,nuevo oriente,1417,2012,Washed / Wet,Blue-Green,275,85.83
Costa Rica,tarrazu,1550,2015,Washed / Wet,Green,130,82.33
"Tanzania, United Republic Of",arusha,1400,2014,Washed / Wet,Blue-Green,10,80.58
China,yunnan,1200,2015,Washed / Wet,Green,3,83.17
Colombia,huila,1775,2014,Washed / Wet,Blue-Green,250,82.75
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.67
Colombia,huila,1750,2011,Washed / Wet,Green,250,81.75
Guatemala,huehuetenango,1128,2016,Washed / Wet,Green,275,83.58
Mexico,coscomatepec,940,2012,Washed / Wet,Green,15,82
Haiti,haiti,1000,2012,Washed / Wet,Green,1,80.75
Guatemala,san marcos,1371,2016,Washed / Wet,Green,450,81.42
Colombia,huila,1775,2014,Washed / Wet,Green,275,84.42
Mexico,coatepec,1250,2012,Natural / Dry,Green,100,79.92
Mexico,"la concordia, chiapas",1150,2013,Washed / Wet,Green,250,81.5
Costa Rica,tarrazu,1850,2014,Washed / Wet,Blue-Green,320,84.17
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,81.58
Guatemala,oriente,1402,2012,Washed / Wet,Green,250,82
Honduras,intibuca,1350,2014,Washed / Wet,Green,275,79
Mexico,veracruz,1170,2012,Washed / Wet,Green,10,82.25
China,yunnan,1850,2013,Washed / Wet,Green,1,78.67
Kenya,central kenya,1580,2012,Washed / Wet,Green,38,85
Ethiopia,snnprg; kafa; telo woreda; shada kebele,1606,2014,Natural / Dry,Green,320,84.17
Brazil,south of minas,1000,2012,Natural / Dry,Green,50,82
Colombia,huila,1750,2011,Natural / Dry,Green,250,81.42
Mexico,"la concordia, chiapas",1400,2013,Washed / Wet,Green,310,81.58
Guatemala,san marcos,1524,2014,Washed / Wet,Green,200,83.17
Guatemala,oriente,1219,2013,Natural / Dry,Green,250,83.42
Thailand,thailand,800,2012,Washed / Wet,Green,2,81
Mexico,veracruz,1200,2012,Washed / Wet,Green,275,81.67
Mexico,la concordia,1550,2012,Washed / Wet,Green,250,79.58
Mexico,oaxaca,1200,2012,Washed / Wet,Green,30,80.75
Colombia,huila,1775,2012,Washed / Wet,Green,275,83.17
United States,yauco region,853,2013,Washed / Wet,Green,18,83.75
Colombia,huila,1775,2012,Washed / Wet,Green,100,82.75
Colombia,huila,1750,2013,Washed / Wet,Green,250,83.83
Costa Rica,central valley,1200,2013,Washed / Wet,Green,250,83
Mexico,cordoba,1050,2012,Washed / Wet,Green,320,78.08
Costa Rica,occidental,1200,2014,Washed / Wet,Green,250,71.75
Guatemala,antigua,1500,2014,Natural / Dry,Green,26,82.92
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,83.25
Kenya,kiambu,1600,2017,Washed / Wet,Green,150,80.92
Brazil,cerrado,982,2016,Natural / Dry,Green,320,82.33
Taiwan,"mountain ali, taiwan",1200,2012,Washed / Wet,Blue-Green,2,84.42
Brazil,grama valley,1100,2012,Natural / Dry,Green,8,81.92
Mexico,veracruz,1500,2012,Washed / Wet,Green,302,81.83
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,80.17
Costa Rica,central valley,1200,2013,Washed / Wet,Green,250,83.33
Mexico,santo reyes nopala,1300,2012,Washed / Wet,Green,30,81.08
Costa Rica,san ramon,1300,2014,Washed / Wet,Blue-Green,250,85.33
Malawi,southern- zomba,995,2014,Washed / Wet,Green,300,81.17
Colombia,cundinamarca,1799,2016,Washed / Wet,Blue-Green,50,83.5
Brazil,south of minas,934,2016,Natural / Dry,Blue-Green,320,82.67
Malawi,mzuzu,1100,2014,Washed / Wet,Green,10,81.58
Guatemala,"san lucas toliman, solola",1550,2013,Washed / Wet,Green,250,80.67
"Tanzania, United Republic Of",ruvuma,1650,2015,Washed / Wet,Green,30,82.17
Guatemala,antigua,1500,2014,Washed / Wet,Green,250,82.92
"Tanzania, United Republic Of",kilimanjaro,1500,2014,Washed / Wet,Green,300,82.08
Philippines,"davao city, region 11",1400,2014,Washed / Wet,Green,2,81.33
Uganda,kapchorwa,1800,2013,Washed / Wet,Green,300,83
Mexico,amatenango de la frontera,1600,2012,Washed / Wet,Green,250,81.5
Colombia,pitalito,1000,2016,Natural / Dry,Green,250,83.5
Malawi,mzuzu,1200,2014,Washed / Wet,Green,31,81.33
Mexico,"el desmoronado, talpan de allende jalisco",1200,2014,Washed / Wet,Green,20,80.67
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,84.67
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,82.5
Mexico,tapachula,1800,2012,Natural / Dry,Green,250,81.17
Costa Rica,tres rios,1300,2015,Washed / Wet,Green,275,81.83
Uganda,west nile,1400,2013,Washed / Wet,Green,1,82.92
Colombia,huila,1775,2015,Washed / Wet,Green,275,83.58
Mexico,"chocaman, veracruz",1140,2012,Washed / Wet,Green,20,74.33
Colombia,huila,1775,2015,Washed / Wet,Green,275,84.25
Colombia,huila,1750,2013,Washed / Wet,Blue-Green,250,83.75
Ethiopia,oromia,1676,2014,Natural / Dry,Green,320,83.83
Mexico,chiapas,1600,2013,Washed / Wet,Green,2,82.5
"Tanzania, United Republic Of",mbinga,1550,2014,Washed / Wet,Blue-Green,320,81.17
Mexico,tuxtla gutierrez,1650,2012,Washed / Wet,Green,100,81.67
Costa Rica,tarrazu,185,2015,Washed / Wet,Blue-Green,240,80.67
Laos,lao p.d.r.,1250,2015,Washed / Wet,Blue-Green,1,82
Guatemala,oriente,1450,2012,Natural / Dry,Green,250,83.67
Mexico,oaxaca,1100,2012,Washed / Wet,Green,42,81.75
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,79.08
China,yunnan,1400,2015,Natural / Dry,Green,3,84.25
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.33
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,81.75
Thailand,thailand,800,2013,Washed / Wet,Blue-Green,1,79.67
Malawi,southern- zomba,995,2014,Washed / Wet,Blue-Green,100,80.67
Honduras,marcala,1400,2015,Washed / Wet,Green,275,81.25
"Tanzania, United Republic Of",moshi,168,2016,Washed / Wet,Green,320,83.17
Uganda,eastern,1800,2013,Washed / Wet,Green,100,83.58
Philippines,"bukidnon, mindanao, philppines",1200,2015,Washed / Wet,Blue-Green,250,82.92
Colombia,huila,1750,2013,Washed / Wet,Green,275,83.75
Guatemala,antigua,1500,2015,Washed / Wet,Green,250,83
Mexico,tapachula,1800,2012,Washed / Wet,Green,250,82.08
Mexico,chiapas,1300,2013,Washed / Wet,Green,450,81.92
Mexico,veracruz,1338,2013,Washed / Wet,Blue-Green,150,82.25
Colombia,pereira,1200,2013,Washed / Wet,Green,250,79.33
Colombia,huila,1750,2013,Washed / Wet,Green,250,83.5
Guatemala,antigua,1500,2016,Washed / Wet,Green,100,83.83
Mexico,coatepec,1250,2012,Washed / Wet,Green,15,82.08
Mexico,xicotepec de juarez,1100,2012,Washed / Wet,Green,48,83.67
"Tanzania, United Republic Of","manyara, karatu",1700,2014,Washed / Wet,Green,250,80.92
Nicaragua,jinotega,1050,2015,Natural / Dry,Green,275,79.5
Guatemala,antigua,1500,2014,Washed / Wet,Green,26,83.25
Guatemala,jalapa,1524,2014,Washed / Wet,Green,250,80.92
Brazil,south of minas,934,2016,Natural / Dry,Green,320,83.67
Honduras,comayagua,1500,2015,Washed / Wet,Blue-Green,200,82.17
Guatemala,huehuetenango,1859,2013,Washed / Wet,Green,250,80.5
Honduras,marcala,1450,2014,Washed / Wet,Green,275,69.17
Guatemala,santa rosa,1219,2017,Washed / Wet,Green,80,81.67
Colombia,la plata,1775,2012,Washed / Wet,Green,175,83.25
Colombia,huila,1800,2012,Washed / Wet,Green,250,84.58
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,74.33
Honduras,"siguatepeque, comayagua",1450,2015,Natural / Dry,Green,275,80.75
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,78.33
Mexico,la yerba,1296,2014,Washed / Wet,Green,10,82.42
"Tanzania, United Republic Of",mbinga,1653,2014,Washed / Wet,Blue-Green,180,83.17
Mexico,veracruz,1320,2012,Washed / Wet,Green,20,78.75
Guatemala,oriente,1219,2014,Washed / Wet,Green,250,79
Colombia,huila,175,2012,Washed / Wet,Green,250,83.25
"Tanzania, United Republic Of",kilimanjaro,1650,2015,Washed / Wet,Green,2,82
Honduras,comayagua,1400,2017,Washed / Wet,Green,275,81.5
Colombia,huila supremo,1750,2013,Washed / Wet,Green,250,83.67
Honduras,comayagua,1400,2014,Natural / Dry,Green,275,81.67
Guatemala,oriente,1219,2013,Washed / Wet,Green,250,79.42
Vietnam,vietnam,1040,2014,Washed / Wet,Blue-Green,1,81.75
United States,yauco region,853,2013,Washed / Wet,Green,18,79.08
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,79.67
Mexico,colima,1200,2012,Washed / Wet,Green,60,82.17
Colombia,huila,442,2015,Natural / Dry,Green,250,84.33
Ethiopia,oromia,1775,2014,Natural / Dry,Green,320,86.25
"Tanzania, United Republic Of","iwala village, mbeya rural",1456,2014,Washed / Wet,Green,54,81.08
Uganda,kapchorwa,1950,2013,Washed / Wet,Green,150,85.42
Colombia,huila,442,2012,Natural / Dry,Green,250,82.33
Colombia,santander,1650,2015,Washed / Wet,Green,275,83.33
Honduras,occidental,1400,2014,Washed / Wet,Green,275,80.58
Mexico,temaxcalapa,1100,2012,Washed / Wet,Green,30,81.5
Brazil,south of minas,934,2016,Natural / Dry,Blue-Green,320,82.33
Guatemala,acatenango,1600,2015,Washed / Wet,Green,120,84.67
Mexico,veracruz,1170,2012,Washed / Wet,Green,10,82.33
Ethiopia,sidamo,1800,2017,Natural / Dry,Green,320,84
Mexico,zentla,750,2012,Washed / Wet,Green,50,79.33
Costa Rica,brunca,1100,2013,Washed / Wet,Blue-Green,275,79.75
Mexico,coatepec,750,2012,Washed / Wet,Green,15,83
Ethiopia,oromia,1900,2015,Natural / Dry,Green,320,85.5
Kenya,meru county,1700,2017,Washed / Wet,Blue-Green,200,83.67
Mexico,chiapas,1300,2013,Washed / Wet,Green,400,79.92
Mexico,coatepec,1300,2012,Washed / Wet,Green,23,77.5
Mexico,chiapas,1500,2013,Washed / Wet,Green,45,83.17
Mexico,coatepec,1250,2012,Washed / Wet,Green,20,80
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,84.5
Uganda,eastern,1650,2013,Washed / Wet,Green,1,82.92
Guatemala,huehuetenango,1706,2015,Washed / Wet,Green,275,80.75
Mexico,jaltenango,1100,2012,Washed / Wet,Green,250,79.92
Colombia,huila,1775,2012,Washed / Wet,Green,275,83
Guatemala,santa rosa,1800,2017,Washed / Wet,Green,275,82.75
Ethiopia,aricha,1700,2014,Natural / Dry,Green,100,85.08
Mexico,xalapa,1320,2012,Washed / Wet,Green,14,87.17
Colombia,cundinamarca,1550,2013,Washed / Wet,Green,250,79.5
Mexico,xicotepec de juarez,900,2012,Washed / Wet,Blue-Green,48,83.92
Costa Rica,tarrazu,1700,2016,Washed / Wet,Blue-Green,150,84.17
Guatemala,acatenango,1524,2012,Washed / Wet,Green,125,84.67
Colombia,huila,442,2015,Natural / Dry,Green,275,83.42
Kenya,nyeri,1754,2014,Natural / Dry,Blue-Green,12,86.08
Honduras,san marcos,1450,2014,Washed / Wet,Green,275,81.33
Kenya,kenya,250,2013,Washed / Wet,Green,300,84.17
Guatemala,jalapa,1752,2012,Washed / Wet,Green,275,81.67
Colombia,cundinamarca,2136,2012,Natural / Dry,Green,250,83.58
Malawi,mzuzu,2500,2014,Washed / Wet,Blue-Green,16,82
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,77.42
Guatemala,"sacatepequez, guatemala",1524,2013,Washed / Wet,Green,250,81.25
Mexico,chiapas,1560,2013,Washed / Wet,Green,49,82.42
Honduras,intibuca,1350,2014,Washed / Wet,Green,275,73.42
Brazil,south of minas,1250,2011,Natural / Dry,Green,3,86.92
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,83.67
Indonesia,ijen,1400,2012,Washed / Wet,Green,10,81.5
Guatemala,"san lucas toliman, solola",1550,2014,Washed / Wet,Green,250,81.42
Costa Rica,tarrazu,1850,2016,Washed / Wet,Blue-Green,250,82.75
Kenya,muranga,1800,2013,Washed / Wet,Blue-Green,320,86.25
Colombia,huila,1775,2014,Washed / Wet,Green,275,83.92
China,yunnan,1100,2015,Natural / Dry,Green,3,82.75
Colombia,huila,1750,2013,Washed / Wet,Green,250,83.5
Colombia,huila,1775,2015,Washed / Wet,Blue-Green,275,84.17
Mexico,adolfo lopez mateos,1100,2012,Washed / Wet,Green,200,81
"Tanzania, United Republic Of",mbeya,1600,2014,Washed / Wet,Green,65,84.25
Mexico,petatlan,1248,2012,Washed / Wet,Green,50,77.92
Mexico,veracruz,1650,2012,Washed / Wet,Green,30,81.92
Guatemala,santa rosa,1219,2017,Washed / Wet,Green,50,81.92
Mexico,chiapas,1550,2013,Washed / Wet,Green,32,82.75
Costa Rica,tarrazu,1850,2015,Washed / Wet,Blue-Green,245,83.5
"Tanzania, United Republic Of",karatu ngorogoro,1700,2014,Washed / Wet,Green,100,81.25
Honduras,comayagua,1400,2016,Washed / Wet,Green,285,83.67
Ethiopia,oromia,1900,2015,Washed / Wet,Green,320,85.42
Kenya,central kenya,1200,2012,Washed / Wet,Green,300,85.33
Guatemala,huehuetenango,1099,2015,Washed / Wet,Green,275,84.25
Guatemala,acatenango,1524,2012,Washed / Wet,Green,150,85.83
Costa Rica,san ramon,1300,2014,Washed / Wet,Green,250,80.75
China,menglian,1500,2015,Washed / Wet,Green,3,82.75
Guatemala,atitlan,1400,2013,Washed / Wet,Green,250,82.42
"Tanzania, United Republic Of",meru,1350,2014,Washed / Wet,Green,1,82
Colombia,huila,442,2016,Washed / Wet,Green,600,83.42
Costa Rica,central valley,1300,2013,Washed / Wet,Green,250,82
Mexico,"la concordia, chiapas",1400,2013,Washed / Wet,Green,310,81.67
Colombia,huila,1775,2015,Washed / Wet,Green,248,84.25
Costa Rica,san ramon,1300,2014,Washed / Wet,Green,250,83.33
Colombia,south huila,1625,2012,Washed / Wet,Blue-Green,250,82.75
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,80.33
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,82.83
Colombia,huila,1800,2013,Washed / Wet,Green,275,84.33
Mexico,ixhuatlan del cafe,1186,2012,Washed / Wet,Green,60,80.92
Honduras,comayagua,1400,2016,Natural / Dry,Green,275,80.25
Mexico,escuitla,1300,2012,Washed / Wet,Green,10,80.08
Guatemala,santa rosa,1219,2017,Washed / Wet,Green,50,82.75
Guatemala,"el tumbador, san marcos",1371,2015,Washed / Wet,Green,200,83
Colombia,huila,1550,2014,Washed / Wet,Green,250,83.75
Guatemala,nuevo oriente,1550,2015,Washed / Wet,Green,275,79.17
Mexico,coatepec,1250,2012,Washed / Wet,Green,20,73.83
Brazil,south of minas,1000,2012,Natural / Dry,Green,50,83.17
Guatemala,oriente,1901,2017,Washed / Wet,Green,25,81.92
Kenya,central kenya,1600,2012,Washed / Wet,Green,20,85.33
