Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
Ethiopia,"snnp/kaffa zone,gimbowereda",1822,2014,Natural / Dry,Green,50,88.25
"Tanzania, United Republic Of",nkure- meru,1400,2015,Washed / Wet,Green,5,83.5
Guatemala,oriente,1310,2012,Washed / Wet,Green,250,75.58
Costa Rica,central valley,1300,2013,Washed / Wet,Green,250,82.58
Honduras,marcala,1400,2015,Washed / Wet,Green,275,81.83
Guatemala,norte,3280,2016,Washed / Wet,Green,120,81
Colombia,huila,1750,2012,Washed / Wet,Green,250,83.33
Mexico,pochutla,1050,2012,Washed / Wet,Green,250,79.75
Mexico,la yerba,1296,2014,Natural / Dry,Green,11,82.67
Uganda,bulambuli eastern region,1600,2013,Washed / Wet,Green,320,85.5
Uganda,eastern,1800,2014,Washed / Wet,Blue-Green,84,83.17
Malawi,mzuzu,1422,2014,Washed / Wet,Blue-Green,12,81.42
Mexico,san miguel del puerto,1100,2012,Washed / Wet,Green,256,80
Guatemala,oriente,1219,2014,Washed / Wet,Green,275,78
Mexico,motozintla,1500,2012,Washed / Wet,Green,250,81.25
Haiti,"thiotte, haiti",1280,2012,Washed / Wet,Green,2,83.33
Guatemala,huehuetenango,1383,2014,Natural / Dry,Green,275,80.58
Honduras,marcala,1400,2015,Washed / Wet,Green,275,81.42
Guatemala,oriente,1219,2014,Washed / Wet,Green,275,79.42
Mexico,fln mirador,1450,2012,Washed / Wet,Blue-Green,10,82.42
Rwanda,gicumbi,1900,2015,Washed / Wet,Blue-Green,150,82.83
Kenya,kiambu,1860,2013,Washed / Wet,Green,1,86
Colombia,huila,1800,2013,Washed / Wet,Blue-Green,275,85.92
Mexico,"sierra norte yajalon, chiapas",1000,2014,Washed / Wet,Green,280,70.75
Panama,boquete,1600,2017,Washed / Wet,Blue-Green,37,85.83
Costa Rica,tarrazu,1850,2013,Washed / Wet,Green,275,81.67
Costa Rica,occidental,1200,2014,Washed / Wet,Green,250,77.92
Guatemala,oriente,1219,2014,Washed / Wet,Green,275,80.5
Honduras,ocotepeque,1650,2017,Washed / Wet,Green,15,79.17
Guatemala,norte,3280,2016,Washed / Wet,Green,130,84.17
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.83
Guatemala,santa rosa,1219,2017,Washed / Wet,Green,50,79.17
Colombia,huila,1775,2015,Washed / Wet,Green,252,84.92
Guatemala,antigua,1500,2014,Washed / Wet,Green,26,83
Costa Rica,tarrazu,1850,2015,Washed / Wet,Blue-Green,100,82.33
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,81.67
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,82.5
Guatemala,oriente,1219,2015,Washed / Wet,Green,80,82.83
Mexico,veracruz,1170,2012,Washed / Wet,Green,20,84.25
Brazil,high mogiana,1000,2014,Natural / Dry,Green,305,83
Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,2014,Washed / Wet,Blue-Green,1,84.08
"Tanzania, United Republic Of",arusha,1400,2012,Washed / Wet,Green,300,82.83
Colombia,huila,1750,2013,Washed / Wet,Blue-Green,250,82.17
Kenya,kenya,250,2014,Washed / Wet,Blue-Green,300,83.17
Mexico,chiapas,1300,2013,Washed / Wet,Green,380,79.75
Colombia,huila,1750,2012,Washed / Wet,Green,250,82.25
Costa Rica,central valley,1300,2013,Washed / Wet,Green,250,83.83
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,84.17
Peru,san ignacio,1200,2014,Washed / Wet,Green,275,77
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,82.42
Mexico,"motozintla, chiapas",850,2012,Washed / Wet,Green,10,78
Colombia,huila,1750,2013,Natural / Dry,Blue-Green,250,82.92
Brazil,south of minas,894,2016,Natural / Dry,Green,320,83
Colombia,huila,1900,2013,Washed / Wet,Green,250,83.67
"Tanzania, United Republic Of",mbinga,1500,2014,Washed / Wet,Green,20,81.67
Colombia,huila,442,2015,Natural / Dry,Green,250,84.25
Kenya,blend,1200,2012,Washed / Wet,Green,300,84
Thailand,thailand,800,2013,Washed / Wet,Green,1,82
Honduras,marcala,1350,2015,Washed / Wet,Green,275,81.33
Colombia,huila,442,2017,Washed / Wet,Green,275,83.75
Colombia,huila,1775,2014,Washed / Wet,Green,100,83.75
Colombia,pitalito,1000,2013,Natural / Dry,Green,250,83
Honduras,marcala,1350,2015,Washed / Wet,Green,275,82.25
Mexico,la concordia,1550,2012,Washed / Wet,Green,250,81.75
Kenya,nyeri,1800,2014,Washed / Wet,Green,150,84.75
Mexico,tepictla,1250,2012,Washed / Wet,Green,100,81.75
Guatemala,huehuetenango,1731,2013,Washed / Wet,Green,250,85.5
Mexico,menglian,850,2012,Washed / Wet,Green,43,75
Mexico,hustusco,1350,2012,Washed / Wet,Green,56,84.5
Honduras,comayagua,1400,2017,Washed / Wet,Green,274,81.92
Costa Rica,tarrazu,1850,2015,Washed / Wet,Blue-Green,275,83.83
Guatemala,jalapa,1524,2014,Washed / Wet,Green,250,82.33
Mexico,tuxtla gutierrez,1700,2012,Washed / Wet,Blue-Green,100,84.33
Mexico,oaxaca,1250,2012,Washed / Wet,Green,50,82.58
Costa Rica,occidental,1200,2014,Washed / Wet,Green,250,81.5
Ethiopia,sidamo,1550,2013,Natural / Dry,Green,50,84
Ecuador,"province of manabi, ecuador",800,2013,Natural / Dry,Blue-Green,1,83.83
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,81.42
Colombia,antioquia,1450,2013,Washed / Wet,Green,250,82.92
Mexico,"la concordia, chiapas",1400,2013,Washed / Wet,Green,310,79.67
Guatemala,huehuetenango,1356,2014,Washed / Wet,Green,275,83.67
"Tanzania, United Republic Of","oldeani , mongola",1800,2014,Washed / Wet,Green,100,81.58
Guatemala,antigua,1500,2014,Washed / Wet,Green,250,83.42
Vietnam,don duong,1040,2012,Natural / Dry,Green,1,82.08
Thailand,thailand,800,2014,Washed / Wet,Blue-Green,1,83.17
Myanmar,ywar ngan,4001,2015,Washed / Wet,Green,1,81.83
Mexico,san isidro,700,2012,Washed / Wet,Green,15,83.17
Kenya,nyeri,1754,2017,Washed / Wet,Green,27,82.83
Mexico,xicotepec de juarez,1150,2012,Washed / Wet,Green,10,82.42
Colombia,guayata,1600,2016,Washed / Wet,Green,43,82.42
Colombia,cundinamarca,2136,2012,Natural / Dry,Green,250,85.08
Guatemala,oriente,1402,2012,Washed / Wet,Green,250,83.17
Mexico,"la concordia, chiapas",1400,2012,Washed / Wet,Green,250,81.67
Uganda,mt. rwenzori,1600,2012,Washed / Wet,Green,320,84.17
Honduras,comayagua,1350,2014,Natural / Dry,Green,275,81.83
Malawi,mzuzu,1442,2014,Washed / Wet,Blue-Green,29,82.75
Guatemala,el progreso,157,2017,Washed / Wet,Green,25,82.75
Guatemala,solola,1565,2016,Washed / Wet,Green,377,84.17
Guatemala,antigua,1500,2014,Washed / Wet,Green,250,82.83
"Tanzania, United Republic Of","ilomba vilage, mbozi",1700,2013,Washed / Wet,Green,10,81.67
Honduras,marcala,1450,2016,Washed / Wet,Blue-Green,275,83.17
Nicaragua,jinotega,1250,2017,Washed / Wet,Green,275,80
Panama,boquete,1100,2012,Washed / Wet,Green,300,82.75
Mexico,canoas,900,2012,Washed / Wet,Green,250,82.25
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,84.17
Mexico,santa maria sitepec,1642,2012,Washed / Wet,Green,40,81.08
"Tanzania, United Republic Of",kilimanjaro,1800,2014,Washed / Wet,Green,300,83.17
Uganda,west nile,1400,2013,Natural / Dry,Green,320,83.75
Brazil,south of minas,894,2016,Natural / Dry,Green,320,82.08
Uganda,eastern,1800,2015,Washed / Wet,Green,20,83.42
Colombia,huila,1775,2012,Washed / Wet,Green,275,83.58
Guatemala,antigua,1500,2016,Washed / Wet,Green,250,83.17
China,dehong prefecture,1600,2015,Washed / Wet,Green,3,83.17
Mexico,veracruz,1250,2012,Washed / Wet,Blue-Green,250,82.83
Mexico,coatepec,1200,2012,Washed / Wet,Green,250,83
Mexico,veracruz,1300,2017,Washed / Wet,Green,200,83.92
Mexico,"motozintla, chiapas",1100,2012,Washed / Wet,Green,10,79.92
China,yunnan,1450,2015,Washed / Wet,Green,3,87.25
Colombia,huila,1750,2013,Washed / Wet,Green,250,82.33
Mexico,veracruz,1350,2012,Washed / Wet,Green,26,82.42
Honduras,comayagua,1396,2017,Washed / Wet,Green,275,82.33
Guatemala,antigua,1500,2012,Washed / Wet,Green,275,82.67
Mexico,coatepec,1250,2012,Washed / Wet,Green,20,74.83
"Tanzania, United Republic Of",karatu arusha,1700,2014,Washed / Wet,Green,93,82.67
Mexico,"sierra fraylesca, chiapas",1400,2014,Washed / Wet,Green,280,80
Malawi,mzuzu,1599,2014,Washed / Wet,Green,15,81.5
Uganda,mt elgon,1650,2013,Washed / Wet,Green,1,82.67
Uganda,"sipi, mt elgon",1650,2012,Washed / Wet,Blue-Green,1,86
"Tanzania, United Republic Of","ilomba vilage, mbozi",1700,2014,Washed / Wet,Green,10,82.17
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,83.17
Brazil,mogiana,950,2012,Natural / Dry,Green,100,83.17
Colombia,huila,1750,2012,Washed / Wet,Green,250,83
Papua New Guinea,eastern highlands province,1700,2012,Washed / Wet,Blue-Green,7,85.75
China,yunnan,1650,2015,Washed / Wet,Green,3,83.75
Mexico,veracruz,1000,2012,Washed / Wet,Green,12,79.25
Guatemala,nuevo oriente,1550,2015,Washed / Wet,Green,275,83
Nicaragua,jinotega,1250,2016,Washed / Wet,Green,275,83.67
Thailand,thailand,800,2014,Washed / Wet,Green,1,82.58
Brazil,vale da grama,1300,2011,Natural / Dry,Green,29,86.42
Honduras,comayagua,1400,2017,Washed / Wet,Green,275,82.5
Colombia,huila,1850,2014,Washed / Wet,Green,275,83.5
Guatemala,san marcos,1700,2017,Washed / Wet,Green,50,82.75
Honduras,marcala,1400,2015,Washed / Wet,Green,275,80.17
Guatemala,santa rosa,1219,2017,Washed / Wet,Green,50,81.5
Colombia,huila,1900,2013,Washed / Wet,Green,250,82
Mexico,ocosingo,1200,2012,Washed / Wet,Green,100,75.17
Guatemala,santa rosa,1500,2017,Washed / Wet,Green,275,80.5
Guatemala,atitlan,1524,2012,Washed / Wet,Green,275,83.5
Thailand,thailand,800,2014,Washed / Wet,Blue-Green,1,82.17
China,yunnan,1700,2015,Natural / Dry,Green,3,85.33
"Tanzania, United Republic Of",arusha,1525,2014,Washed / Wet,Green,1,81
Guatemala,oriente,1402,2012,Washed / Wet,Green,250,83.5
Guatemala,"sacatepequez, guatemala",1524,2012,Washed / Wet,Green,250,83.67
Myanmar,ywar ngan,3825,2015,Washed / Wet,Green,1,80.75
Mexico,yajalon,1400,2012,Washed / Wet,Green,15,81.67
Honduras,marcala,1450,2014,Washed / Wet,Green,275,84.75
